Site.ID,Location,Lat,Long,Valid_from,AdjustedLat,AdjustedLong
10801,NOR,69.869571,21.929483,6/28/2006 2:00:00 AM,70.419571,21.829483
10800,NOR,69.866728,21.957995,6/28/2006 2:00:00 AM,70.416728,21.857995
21277,NOR,63.470479,7.87827,6/29/2006 2:00:00 AM,63.470479,7.12827
10976,NOR,66.030517,12.429512,7/3/2006 2:00:00 AM,66.030517,11.679512
13066,NOR,63.085672,8.178267,7/6/2006 2:00:00 AM,63.085672,7.428267
20775,NOR,64.103515,10.085588,7/12/2006 2:00:00 AM,64.103515,9.085588
12101,NOR,59.739233,5.916518,7/21/2006 2:00:00 AM,59.739233,5.066518
12584,NOR,64.415757,10.745558,7/27/2006 2:00:00 AM,64.49,10
12606,NOR,64.082244,10.16679,7/27/2006 2:00:00 AM,64.082244,9.11679
10846,NOR,70.634662,22.567376,8/17/2006 2:00:00 AM,71.234662,22.567376
10664,NOR,70.637867,24.575258,8/17/2006 2:00:00 AM,71.197867,24.575258
10842,NOR,70.66956,22.773173,8/17/2006 2:00:00 AM,71.26956,22.773173
10617,NOR,70.617987,24.131799,8/17/2006 2:00:00 AM,71.217987,24.131799
10280,NOR,70.651004,22.647097,8/17/2006 2:00:00 AM,71.251004,22.647097
10457,NOR,66.20766,12.558213,8/25/2006 2:00:00 AM,66.20766,11.808213
10035,NOR,59.218283,5.46756,9/1/2006 2:00:00 AM,59.218283,4.71756
10547,NOR,69.067093,17.117117,9/1/2006 2:00:00 AM,69.517093,17.017117
13276,NOR,65.070336,11.696642,9/1/2006 2:00:00 AM,65.070336,10.946642
18215,NOR,69.0286,17.035757,9/1/2006 2:00:00 AM,69.7286,16.285757
13802,NOR,69.730701,18.64326,9/4/2006 2:00:00 AM,70.330701,18.64326
12976,NOR,60.740464,4.858849,9/5/2006 2:00:00 AM,60.740464,4.108849
10568,NOR,69.552999,20.261289,9/7/2006 2:00:00 AM,70.252999,20.411289
13862,NOR,69.958089,21.044447,10/13/2006 2:00:00 AM,70.458089,21.044447
10712,NOR,69.945541,20.997387,10/13/2006 2:00:00 AM,70.445541,20.997387
10766,NOR,70.104658,18.914326,10/19/2006 2:00:00 AM,70.604658,18.914326
10763,NOR,70.035865,19.018364,10/19/2006 2:00:00 AM,70.635865,19.018364
10762,NOR,70.064051,19.052484,10/19/2006 2:00:00 AM,70.664051,19.052484
10761,NOR,70.060524,19.058072,10/19/2006 2:00:00 AM,70.660524,19.058072
10562,NOR,70.064307,19.076121,10/19/2006 2:00:00 AM,70.664307,19.076121
24955,NOR,63.010101,8.328934,11/10/2006 1:00:00 AM,63.110101,7.218934
12408,NOR,63.653407,8.868732,11/23/2006 1:00:00 AM,63.653407,8.118732
12068,NOR,60.260818,5.567322,1/23/2007 1:00:00 AM,60.1,4.75
15515,NOR,70.546386,30.144643,1/31/2007 1:00:00 AM,71.446386,30.644643
10632,NOR,70.518063,30.170146,1/31/2007 1:00:00 AM,71.418063,30.670146
12462,NOR,63.19576,8.286457,1/31/2007 1:00:00 AM,63.19576,7.536457
17435,NOR,59.991955,5.73875,1/31/2007 1:00:00 AM,59.991955,4.93875
18256,NOR,59.451139,5.819259,1/31/2007 1:00:00 AM,59.451139,5.069259
13825,NOR,59.538554,5.545561,1/31/2007 1:00:00 AM,59.688554,4.795561
12464,NOR,63.24221,8.243504,1/31/2007 1:00:00 AM,63.24221,7.493504
10717,NOR,69.851342,20.877741,2/1/2007 1:00:00 AM,70.451342,20.877741
10728,NOR,69.792759,20.654992,2/1/2007 1:00:00 AM,70.292759,20.654992
11002,NOR,66.585888,12.200596,3/1/2007 1:00:00 AM,66.585888,11.450596
10807,NOR,69.916292,21.717574,3/1/2007 1:00:00 AM,70.416292,21.717574
12983,NOR,61.346339,5.226279,3/9/2007 1:00:00 AM,61.346339,4.226279
12442,NOR,63.315154,8.503047,3/26/2007 2:00:00 AM,63.315154,7.753047
12423,NOR,63.372189,8.674042,3/26/2007 2:00:00 AM,63.472189,7.524042
13264,NOR,63.310603,8.485166,3/26/2007 2:00:00 AM,63.310603,7.735166
12358,NOR,63.744963,8.888568,4/3/2007 2:00:00 AM,63.744963,8.138568
11722,NOR,60.948343,4.924246,4/17/2007 2:00:00 AM,60.948343,4.174246
11715,NOR,60.879433,4.964404,4/17/2007 2:00:00 AM,60.879433,4.214404
