Site.ID,Location,Lat,Long,Date.Registered,Producing.in.Last.3.Years,AdjustedLat,AdjustedLong
FS0645,SCOT,59.14509774,-2.964849179,07-Jan-86,Yes,59.14509774,-2.964849179
FS0519,SCOT,57.30520855,-6.047759404,31-Mar-86,Yes,57.30520855,-6.047759404
FS0430,SCOT,57.00874365,-5.72045662,01-May-86,Yes,57.00874365,-5.92045662
FS0617,SCOT,56.49369719,-6.194889998,22-May-86,Yes,56.49369719,-7.194889998
FS0531,SCOT,57.3280418,-7.231027034,22-May-86,Yes,57.3280418,-7.231027034
FS0599,SCOT,56.68573473,-6.044679789,03-Sep-86,Yes,56.68573473,-7.044679789
FS0546,SCOT,56.9787276,-5.671355344,09-Sep-86,Yes,56.9787276,-6.671355344
FS0549,SCOT,58.01129156,-5.395546964,13-Oct-86,Yes,58.01129156,-5.395546964
FS0602,SCOT,57.33226907,-6.100620443,10-Nov-86,Yes,57.33226907,-7.000620443
FS0605,SCOT,57.12464681,-5.631252928,12-Nov-86,Yes,57.12464681,-6.831252928
FS0616,SCOT,56.99290075,-5.708990431,18-Dec-86,Yes,56.99290075,-6.708990431
FS0621,SCOT,58.25317764,-5.072555577,08-Jan-87,Yes,58.25317764,-6.272555577
FS0489,SCOT,60.35124995,-1.354919453,26-Feb-87,Yes,60.35124995,-1.554919453
FS0646,SCOT,57.94438316,-6.963634362,09-May-87,Yes,57.94438316,-6.963634362
FS0033,SCOT,60.34030517,-1.163117237,04-Aug-87,Yes,60.34030517,-0.963117237
FS0698,SCOT,56.13259644,-5.223159314,06-Aug-87,Yes,56.13259644,-5.223159314
FS0190,SCOT,57.81890921,-6.835067263,09-Aug-87,Yes,57.81890921,-6.735067263
FS0067,SCOT,58.31498366,-5.154773673,25-Aug-87,Yes,58.31498366,-5.154773673
FS0016,SCOT,57.2663191,-5.675070529,29-Aug-87,Yes,57.2663191,-6.875070529
FS0663,SCOT,56.41871995,-5.511727163,03-Sep-87,Yes,56.41871995,-6.511727163
FS0447,SCOT,60.12127708,-1.332430839,04-Sep-87,Yes,60.12127708,-1.332430839
FS0666,SCOT,60.21301811,-1.592210766,04-Sep-87,Yes,60.21301811,-1.792210766
FS0656,SCOT,60.61920607,-0.984152892,09-Sep-87,Yes,60.61920607,-0.984152892
FS0674,SCOT,60.17158207,-1.33681744,15-Sep-87,Yes,60.17158207,-1.33681744
FS0671,SCOT,58.25984375,-5.131110203,15-Sep-87,Yes,58.25984375,-5.331110203
FS0683,SCOT,55.93841592,-5.357566275,17-Sep-87,Yes,55.93841592,-6.357566275
FS0694,SCOT,56.51664965,-5.818420184,18-Sep-87,Yes,56.51664965,-7.818420184
FS0696,SCOT,56.55843185,-5.920333874,18-Sep-87,Yes,56.55843185,-5.920333874
